subject_code,section_code,mode,test_slug,question_id,prompt,choiceA,choiceB,choiceC,choiceD,choiceE,correct,explanation,difficulty,tags,image_url
APMACRO,NIPD,SECTION,,Q304,Which of the following tends to increase the spending multiplier?,An increase in the marginal propensity to consume,A decreased velocity of money,An increase in the marginal propensity to save,An increase in the real interest rate,An increase in the price level,A,"A -The spending multiplier M = 1/(1 – MPC) = 1/MPS, so an increase in the marginal propensity to consume increases the multiplier.",,,
APMACRO,EIBC,SECTION,,Q305,Households demand more money as an asset when,nominal GDP falls.,the nominal interest rate falls.,bond prices fall.,the supply of money falls.,nominal GDP increases.,B,B -Asset demand for money is negatively related to the interest rate. Lower interest rates decrease the opportunity cost of holding money.,,,
APMACRO,EIBC,SECTION,,Q306,Which of the following represents a combination of contractionary fiscal and expansionary monetary policy?,Higher taxes     Selling Treasury securities,Lower taxes     Buying Treasury securities,Lower government spending     Increasing the reserve ratio,Lower government spending     Increasing the discount rate,Higher taxes     Buying Treasury securities,E,E -This is the only choice that combines contractionary fiscal and expansionary monetary policy.,,,
APMACRO,FS,SECTION,,Q307,Higher levels of consumer wealth and optimism would likely have which of the following changes in the market for loanable funds?,Increase in supply     Rising,Increase in demand     Buying Rising,Decrease in demand     Falling,Decrease in supply     Falling,Decrease in supply     Rising,E,"E -Increased consumer wealth shifts the saving function downward. Less saving decreases the supply of loanable funds, raising the interest rate.",,,
APMACRO,EIBC,SECTION,,Q308,Investment demand most likely increases when,real GDP decreases.,the cost of acquiring and maintaining capital equipment rises.,investor optimism improves.,the real rate of interest rises.,taxes on business investment rise.,C,C -Increased optimism shifts investment demand to the right.,,,
APMACRO,EIBC,SECTION,,Q309,"At the peak of a typical business cycle, which of the following is likely the greatest threat to the macroeconomy?",Unemployment,Bankruptcy,Declining labor productivity,Falling real household income,Inflation,E,"E -At the peak of the business cycle, the economy is very strong. Real GDP and incomes are high, unemployment is low, and the threat is a rapid increase in the price level.",,,
APMACRO,FS,SECTION,,Q310,"Suppose that households increase the demand for U.S. Treasury bonds as financial assets. Which of the following accurately describes changes in the money market, the interest rate, and the value of the dollar in foreign currency markets?",Increased supply     Rising     Appreciates,Increased demand     Rising     Appreciates,Decreased demand     Falling     Appreciates,Decreased supply     Falling     Depreciates,Decreased demand     Falling     Depreciates,E,E -An increase in demand for bonds as a financial asset decreases the demand for money and lowers the interest rate. A lower interest rate in the U.S. money market makes the United States a less attractive place for foreign investors to place their money. This decreased demand for dollars depreciates the value of the dollar relative to foreign currencies.,,,
APMACRO,NIPD,SECTION,,Q311,"If households are more optimistic about the future, how would the consumption function be affected?","The marginal propensity to consume would increase, increasing the slope of the consumption function.",The entire consumption function would shift downward.,The entire consumption function would shift upward.,"The marginal propensity to consume would decrease, increasing the slope of the consumption function.","The marginal propensity to consume would increase, decreasing the slope of the consumption function.",C,C -Greater optimism shifts the consumption function upward. The MPC is unchanged.,,,
APMACRO,BEC,SECTION,,Q312,Kevin wants shoes and grows turnips. Lisa wants turnips and makes sheet metal. Bob wants sheet metal and makes shoes. Which function of money will cater most directly to the situation at hand?,Store of value,Unit of account,Medium of exchange,Means of deferred payment,Standard measure,C,"C   The difficulty of this situation is that there is not a double coincidence of wants. That is, no one can get what he or she wants by simply exchanging his or her product for another's product. Although money serves all of the functions listed, their problem will be solved directly by the use of money as a medium of exchange. They can each purchase what they want from one person and sell what they have to another person using money without concern for the mismatched product interests of the people they are dealing with.",,,
APMACRO,EIBC,SECTION,,Q313,U.S. real GDP most likely falls when,tariffs and quotas are removed.,investment in human capital is high.,the money supply is increased.,there is a trade surplus in goods and services.,"the value of the dollar, relative to foreign currencies, is high.",E,"E -If the value of the dollar is high, it makes American goods more expensive to foreign consumers. This decreases net exports and lowers U.S. real GDP. All other choices likely increase real GDP.",,,
APMACRO,EIBC,SECTION,,Q314,"If current real GDP is $5,000 and full employment real GDP is at $4,000, which of the following combinations of policies is the most likely to have brought the economy to this point?",A decrease in taxes and a lower discount rate,An increase in government spending and an increase in taxes,A decrease in taxes and selling bonds in an open market operation,An increase in government spending and an increase in the discount rate,A decrease in taxes and a decrease in government spending,A,"A -With the economy operating beyond full employment, look for a combination of expansionary policies. All of the other choices include a contractionary policy with an expansionary policy, thus making A the most likely culprit.",,,
APMACRO,EIBC,SECTION,,Q315,"If a nation is operating at full employment, and the central bank engages in contractionary monetary policy, the nation can expect the interest rate, the purchases of new homes, and the unemployment rate to change in which of the following ways?",Decrease     Increase     Increase,Decrease     Decrease     Decrease,Increase     Decrease     Decrease,Increase     Decrease     Increase,Increase     Increase     Increase,D,"D -Contractionary monetary policy increases interest rates. Higher interest rates decrease new home demand, investment spending, and AD, and increase the unemployment rate.",,,
APMACRO,EIBC,SECTION,,Q316,Expansionary monetary policy is designed to,"decrease the interest rate, increase private investment, increase aggregate demand, and increase domestic output.","decrease the interest rate, increase private investment, increase aggregate demand, and increase the unemployment rate.","increase the interest rate, increase private investment, increase aggregate demand, and increase domestic output.","increase the interest rate, decrease private investment, increase aggregate demand, and increase domestic output.","increase the interest rate, decrease private investment, decrease aggregate demand, and decrease the price level.",A,"A -Expanding the money supply decreases the interest rate, increases investment, and stimulates AD.",,,
APMACRO,NIPD,SECTION,,Q317,"If the economy is operating at full employment, which of the following policies will create the most inflation in the short run?",An increase in government spending matched by an equal increase in taxes,An increase in government spending with no change in taxes,A decrease in government spending and a matching increase in taxes,A decrease in taxes with no change in government spending,A decrease in government spending matched by an equal decrease in taxes,B,"B -Because the spending multiplier is larger than the tax multiplier, AD shifts farther to the right when spending is increased with no change in taxes. With the economy currently at full employment, this largest of rightward shifts in AD will be the most inflationary policy.",,,
APMACRO,FS,SECTION,,Q318,Which of the following is a component of the M 1 measure of money supply?,Savings deposits,Gold bullion,Cash and coins,30-year Treasury certificates,18-month certificates of deposits,C,"C -Because M 1 is the most liquid measure of money, it begins with cash and coins.",,,
APMACRO,NIPD,SECTION,,Q319,"Assuming that households save a proportion of disposable income, which of the following relationships between multipliers is correct?",Tax multiplier > Spending multiplier > Balanced budget multiplier,Spending multiplier = Tax multiplier > Balanced budget multiplier,Spending multiplier > Tax multiplier = Balanced budget multiplier,Spending multiplier > Tax multiplier > Balanced budget multiplier,Tax multiplier > Spending multiplier = Balanced budget multiplier,D,"D -For a given MPC, the spending multiplier exceeds the tax multiplier, which exceeds the balanced budget multiplier, which is always 1.",,,
APMACRO,FS,SECTION,,Q320,The fractional reserve banking system's ability to create money is lessened if,households that borrow redeposit the entire loan amounts back into the banks.,banks hold excess reserves.,banks lend all excess reserves to borrowing customers.,households increase checking deposits in banks.,the Federal Reserve lowers the reserve ratio.,B,B -Money creation slows if banks do not lend all excess reserves.,,,
APMACRO,BEC,SECTION,,Q321,"All else equal, when the United States exports more goods and services,",the value of the dollar falls as the supply of dollars increases.,the value of the dollar rises as demand for dollars increases.,the value of the dollar falls as demand for dollars decreases.,the value of the dollar rises as the supply of dollars increases.,the value of the dollar falls as demand for dollars increases.,B,B -More exports means an increased demand for the dollar. Stronger demand for the dollar increases the value of the dollar.,,,
APMACRO,NIPD,SECTION,,Q322,"If the reserve ratio is 10 percent and a new customer deposits $500, what is the maximum amount of money created?",$500 ,"$4,500 ","$5,000 ",$50 ,"$5,500 ",B,"B -The money multiplier is 1/ rr = 10. So a $500 deposit creates $450 of new excess reserves, which can multiply to $4,500 of newly created money.",,,
APMACRO,NIPD,SECTION,,Q323,Classical economists believe,in the quantity theory of moneyâthat both the velocity and the quantity of goods and services sold per period are fairly stable,there is a serious risk of a liquidity trap because the demand curve for money is relatively flat,that the government should make every effort to fine-tune the economy,that the aggregate supply curve is L-shaped,that an increase in the money supply has a small and indirect effect on total spending,A,"A   The liquidity trap concept is a concern of Keynesian economists. Classical economists worry that efforts by the government to fine tune the economy will backfire. They believe that aggregate supply is vertical, and that an increase in the money supply has a significant and direct effect on total spending. Classical economists do indeed believe in the quantity theory of money.",,,
APMACRO,NIPD,SECTION,,Q324,Suppose today's headline is that private investment has decreased as a result of an action by the Federal Reserve. Which of the following choices is the most likely cause?,Selling Treasury securities to commercial banks,Lowering of the discount rate,Decreasing the reserve ratio,Elimination of a corporate tax credit on investment,A stronger stock market has increased investor optimism,A,A -Lower levels of investment are the result of higher interest rates so look for the choice that describes a decrease in the money supply.,,,
APMACRO,FS,SECTION,,Q325,"If $1,000 is deposited into a checking account and excess reserves increase by $700, the reserve ratio must be:",70%.,30%.,40%.,90%.,75%.,B,"B -If $700 of a $1,000 deposit is in excess reserves, $300 or 30 percent must have been reserved.",,,
APMACRO,EIBC,SECTION,,Q326,Suppose a nation is experiencing an annual budget surplus and uses some of this surplus to pay down part of the national debt. One potential side effect of this policy would be,increase interest rates and throw the economy into a recession.,increase interest rates and depreciate the nation's currency.,decrease interest rates and risk an inflationary period.,decrease interest rates and throw the economy into a recession.,decrease interest rates and appreciate the nation's currency.,C,"C -Reducing debt lowers interest rates, which increases private investment and risks inflation. Lower interest rates decrease foreign investment in the United States. Weaker demand for dollars depreciates the value of the dollar.",,,
APMACRO,NIPD,SECTION,,Q327,Which of the following best describes a key difference between the short-run and long-run aggregate supply curve?,Short-run aggregate supply is upward sloping as nominal wages quickly respond to price level changes.,Long-run aggregate supply is upward sloping as nominal wages quickly respond to price level changes.,Short-run aggregate supply is vertical as nominal wages quickly respond to price level changes.,Short-run aggregate supply is upward sloping as nominal wages do not quickly respond to price level changes.,Long-run aggregate supply is vertical as nominal wages do not quickly respond to price level changes.,D,"D -The short-run AS curve is upward sloping because when AD increases, the prices of goods and services rise faster than wages. This results in a profit opportunity for producers to increase output. In the long run, wages have time to fully respond to changes in the price level.",,,
APMACRO,EIBC,SECTION,,Q328,"The ""crowding-out"" effect refers to which of the following?",Lower interest rates that result from borrowing to conduct expansionary monetary policy,Higher interest rates that result from borrowing to conduct contractionary fiscal policy,Higher interest rates that result from borrowing to conduct expansionary fiscal policy,Higher interest rates due to borrowing to conduct contractionary monetary policy,Lower interest rates due to borrowing to conduct expansionary fiscal policy,C,C -High levels of government borrowing increase the interest rate and squeeze private investors out of the investment market.,,,
APMACRO,NIPD,SECTION,,Q329,Which of the following is a predictable consequence of import quotas?,Increased competition and lower consumer prices,Increased government tax revenue from imported goods,Rising net exports and a rightward shift in aggregate supply,An improved allocation of resources away from inefficient producers and lower consumer prices,Higher consumer prices and a misallocation of resources away from efficient producers,E,"E -Quotas do not raise money for the domestic government, but they do increase prices and protect inefficient domestic producers, drawing resources away from efficient foreign producers.",,,
APMACRO,EIBC,SECTION,,Q330,"If the Federal Reserve was concerned about the ""crowding-out"" effect, they could engage in",expansionary monetary policy by lowering the discount rate.,expansionary monetary policy by selling Treasury securities.,contractionary monetary policy by raising the discount rate.,contractionary monetary policy by lowering the discount rate.,expansionary monetary policy by raising the reserve ratio.,A,"A -To avoid crowding out, the Fed should increase the money supply, and a lower discount rate does that.",,,
APMACRO,NIPD,SECTION,,Q331,Which of the following would likely contribute to faster rates of economic growth?,A more restrictive immigration policy,Negative net investment,Higher taxes on households and firms,Higher government funding of research on clean energy supplies,Protective trade policies,D,D -Long-term investment in human capital and new technologies increases economic growth rates. Protection of a nation’s natural resources and health of the citizens increases labor productivity.,,,
APMACRO,NIPD,SECTION,,Q332,A nation that must consistently borrow to cover annual budget deficits risks,a depreciation of the nation's currency as foreigners increase investment in the nation.,a decline in net exports as the nation's goods become more expensive to foreign consumers.,lower interest rates that discourage foreign investment in the nation.,an appreciation of the nation's currency as foreigners decrease investment in the nation.,lower interest rates that reduce private investment in productive capital.,B,"B -Extensive borrowing increases the interest rate on U.S. securities. Foreign investors seek to buy dollars so that they can invest in these securities, but when the dollar appreciates, American exports become more expensive to foreign consumers, and so net exports fall.",,,
APMACRO,EIBC,SECTION,,Q333,Economic growth is best described as,an increase in the production possibility curve and an increase in the natural rate of unemployment.,an increase in the production possibility curve and a leftward shift in long-run aggregate supply.,a decrease in the production possibility curve and a rightward shift in long-run aggregate supply.,a decrease in the production possibility curve and a leftward shift in long-run aggregate supply.,an increase in the production possibility curve and a rightward shift in long-run aggregate supply.,E,"E -When a nation’s productive capacity increases, the PPC and long-run AS curves both shift rightward.",,,
APMACRO,FS,SECTION,,Q334,A financial planner on a popular TV show convinces more Americans to save for retirement. What is the result on the supply and demand for loanable funds?,"The supply curve would shift up, increasing the equilibrium interest rate.","The demand curve would shift up, increasing the equilibrium interest rate.","The supply curve would shift down, decreasing the equilibrium interest rate.","The demand curve would shift down, decreasing the equilibrium interest rate.",Both the supply and demand curves would shift.,C,"C   As there is more money available to invest, the supply curve would shift down (from S to Sâ² in the figure below). This would decrease the equilibrium interest rate (from i to iâ²). The answer is (C).",,,
APMACRO,EIBC,SECTION,,Q335,The aggregate supply curve will shift to the right in response to,a decrease in the labor supply,an increase in investment in capital,an increase in corporate taxes,a decrease in the availability of education and training,natural disasters,B,"B   The aggregate supply curve will shift to the right when inputs become cheaper, more productive, or more plentiful. This would result from an increase in the labor force, an increase in education and training, or an increase in investment. With more investment in capital, workers have more equipment to work with and more output can be produced, shifting the AS curve to the right. Natural disasters and government policies that increase production costs will shift AS to the left.",,,
APMACRO,EIBC,SECTION,,Q336,Which of the following is true of automatic fiscal policy stabilizers?,"For a given level of government spending, they produce a deficit during a recession and a surplus during an expansion.",They serve to prolong recessionary and inflationary periods.,The regressive tax system is a fundamental component of automatic stabilizers.,"For a given level of government spending, they produce a surplus during a recession and a surplus during an expansion.",They lengthen the business cycle.,A,"A -This choice describes exactly what automatic stabilizers do. By providing automatic fiscal stimulus during a recession, they also lessen the impact of a recession by shortening the business cycle.",,,
APMACRO,EIBC,SECTION,,Q337,Which of the following is an example of expansionary monetary policy for the Federal Reserve?,Increasing the discount rate,Increasing the reserve ratio,Buying Treasury securities from commercial banks,Lowering income taxes,Removal of import quotas,C,"C -Buying securities from commercial banks puts excess reserves in the banks, which begins the money creation process.",,,
APMACRO,NIPD,SECTION,,Q338,Labor productivity and economic growth increase if,a nation subsidizes education for all citizens.,a nation imposes tariffs and quotas on imported goods.,a nation removes penalties for firms that pollute natural resources.,a nation ignores societal barriers like discrimination.,a nation taxes income from interest on saving.,A,A -Subsidized public education is an investment in human capital and greatly increases labor productivity over time. This is one of the determinants of economic growth.,,,
APMACRO,EIBC,SECTION,,Q339,The short-run Phillips curve depicts the ____ relationship between ____ and ____.,"positive, price level, interest rate","negative, interest rate, private investment","negative, the inflation rate, the unemployment rate","positive, price level, real GDP","negative, interest rate, money demand",C,C -This choice describes the negative-sloping Phillips curve with the inflation rate on the y axis and the unemployment rate on the x axis.,,,
APMACRO,EIBC,SECTION,,Q340,"A negative, or contractionary, supply shock will",shift the Phillips curve to the left.,shift the investment demand curve to the right.,shift the money demand curve to the right.,shift the money supply curve to the left.,shift the Phillips curve to the right.,E,"E -If SRAS shifts to the left, both inflation and unemployment rise, and results in a Phillips curve that is further to the right than before the supply shock.",,,
APMACRO,EIBC,SECTION,,Q341,"When a nation is operating at the natural rate of unemployment,",there is no cyclical unemployment.,the inflation rate is zero.,there is no structural unemployment.,the nation is experiencing a recession.,the unemployment rate is zero.,A,"A -At the natural rate of unemployment, there is frictional and structural unemployment, but no cyclical job loss.",,,
APMACRO,BEC,SECTION,,Q342,Which of the following likely results in a permanent increase in a nation's productive capacity?,A decline in the birth rate,Declining adult literacy rates,Widespread relocation of manufacturing firms to low-wage nations,National program of child immunization,A global increase in the price of crude oil,D,"D -If more children are immunized against disease, the size of the adult workforce increases and higher levels of human capital and productivity are seen over time.",,,
APMACRO,FS,SECTION,,Q343,Lower interest rates in the United States cause the value of the dollar and exports to change in which of the following ways?,Increasing     Increasing,Increasing     Decreasing,Decreasing     Increasing,Decreasing     Unchanged,Increasing     Increasing,C,"C -Lower interest rates decrease the demand for the dollar, which makes U.S.-made goods more affordable to foreign consumers, so exports from the United States increase.",,,
APMACRO,EIBC,SECTION,,Q346,A fixed output level in the long run at full-employment output corresponds with which of the following shapes of the long-run Phillips curve?,Horizontal,Convex to the origin,Concave to the origin,Vertical,Linear with a slope of 1,D,"D   If output in the long run is fixed at full employment output, this implies that the unemployment rate is the same regardless of the price level. Thus, the Phillips curve is vertical.",,,
APMACRO,NIPD,SECTION,,Q347,"The price of gasoline has recently increased, while at the same time gasoline consumption has also increased. What is happening in the gasoline market?",This is evidence that contradicts the law of demand.,"The price of crude oil has fallen, shifting the supply of gasoline to the right.",A price ceiling has been imposed in the market for gasoline.,"The price of automobiles has increased, shifting the demand for gasoline to the left.","Consumers prefer larger automobiles, shifting the demand for gasoline to the right.",E,E -Rising prices and rising quantities does not disprove the law of demand; it simply reflects a rightward shift in demand with a constant supply curve.,,,
APMACRO,BEC,SECTION,,Q348,"If Nation A can produce a good at lower opportunity cost than Nation B can produce the same good, it is said that",Nation A has comparative advantage in the production of that good.,Nation B has comparative advantage in the production of that good.,Nation A has absolute advantage in the production of that good.,Nation B has absolute advantage in the production of that good.,Nation A has economic growth in the production of that good.,A,A -Defines comparative advantage.,,,
APMACRO,NIPD,SECTION,,Q349,Which of the following is a consequence of removal of a protective tariff on imported steel?,Imports fall.,Income is transferred from steel consumers to domestic steel producers.,Income is transferred from foreign steel producers to domestic steel producers.,Allocative efficiency is improved.,Aggregate supply is decreased.,D,D -Tariffs create inefficiency in the world steel market.,,,
APMACRO,BEC,SECTION,,Q350,"In the last 20 years, firms that produce cameras have begun to produce fewer 35-mm cameras and more digital cameras. This trend is an example of",how central planners dictate which cameras are produced.,"the market system answering the question of ""how"" cameras should be produced.","the market system answering the question of ""what"" cameras should be produced.","the market system answering the question of ""who"" should consume the cameras that are produced.",how firms fail to respond to improvements in technology and changes in consumer tastes.,C,"C -The free market responds to changes in consumer tastes, technology, and prices to produce “what” is most wanted by society.",,,
APMACRO,BEC,SECTION,,Q351,Which of the following transactions would be included in the official computation of gross domestic product?,Josh buys a new pair of running shoes.,Nancy offers to babysit her granddaughter.,Max buys his dad's used car.,"Eli cannot go to a concert, so he resells his ticket to a friend.",Melanie rakes the leaves in her own yard.,A,A -Household production is not included in GDP calculations. Second-hand sales are counted the first time the good was produced.,,,
APMACRO,EIBC,SECTION,,Q352,Theo loses his job at the public swimming pool when the pool closes for the winter. This is an example of,cyclical unemployment.,discouraged worker.,seasonal unemployment.,frictional unemployment.,structural unemployment.,C,C -Know the difference between types of unemployment.,,,
APMACRO,BEC,SECTION,,Q353,Which of the following is not a scarce economic resource?,Labor,Capital,Human wants,Land,Natural resources,C,C -Human wants are neither scarce nor are they economic resources.,,,
APMACRO,NIPD,SECTION,,Q354,How does an increasing national debt impact the market for U.S. dollars and the value of the dollar with respect to other currencies?,Increased demand     Appreciating,Increased supply     Appreciating,Decreased supply     Depreciating,Decreased demand     Depreciating,Increased demand     Depreciating,A,A -Rising national debt increases interest rates and attracts foreign investment in U.S. financial assets. Greater demand for dollars appreciates the dollar.,,,
APMACRO,EIBC,SECTION,,Q355,"Suppose the price level in the United States has risen in the past year, but production of goods and services has remained constant. Based on this information, which of the following is true?",Increased     Increased,No change     Decreased,Decreased     Decreased,Increased     Decreased,Decreased     Increased,D,"D -Nominal GDP rises with the price level. If output increases at a slower rate than increases in the price level, real GDP falls.",,,
APMACRO,NIPD,SECTION,,Q356,Which of the following is not an addition to national income?,Wages,Salaries,Interest,Depreciation of physical capital,Profits,D,D -National income includes all sources of income and depreciation is not a source of income.,,,
APMACRO,BEC,SECTION,,Q357,"Every choice results in a foregone best alternative, which economists call the",accounting cost,switching cost,inferior cost,average cost,opportunity cost,E,"E   The value of the next-best alternative foregone when a choice is made is called the opportunity cost. Accounting costs do not include opportunity costs. Switching and inferior costs are not common terms in economics, and the average cost is the total cost of producing a number of goods or services divided by that number.",,,
APMACRO,NIPD,SECTION,,Q358,Which choice produces a faster rate of economic growth for the United States?,Institution of higher tariffs on imported goods,More investment in capital infrastructure and less consumption of nondurable goods and services,Elimination of mandatory school attendance laws,Annual limits on the number of foreigners immigrating into the United States,More investment in the military and less investment in higher education,B,B -Know the factors critical to long-term economic growth.,,,
APMACRO,EIBC,SECTION,,Q360,Which of the following is true of money and financial markets?,"As the demand for bonds increases, the interest rate increases.","For a given money supply, if nominal GDP increases, the velocity of money decreases.","When demand for stocks and bonds increases, the asset demand for money falls.",A macroeconomic recession increases the demand for loanable funds.,Equilibrium in the money market occurs where the transaction demand for money equals the supply of money.,C,"C -Stocks, bonds, and money are all financial assets. All else equal, rising demand for stocks and bonds lowers the asset demand for money.",,,
APMACRO,NIPD,SECTION,,Q361,Which of the following would increase the aggregate demand function?,Higher levels of imported goods,Lower levels of consumer wealth,A higher real interest rate,Lower taxes on personal income,Lower levels of exported goods,D,D -Lower taxes on personal income increase consumption and AD.,,,
APMACRO,BEC,SECTION,,Q363,Which of the following is not included in the U.S. GDP?,"The U.S. military opens a new base in a foreign country with 1,000 U.S. personnel.",Japanese consumers buy thousands of CDs produced in the United States.,An American pop singer performs a sold-out concert in Paris.,A French theatrical production tours dozens of American cities.,American construction companies build thousands of new homes all across the United States and Canada.,C,"C -GDP includes all production or spending done in the United States, regardless of nationality. A singer’s production of a concert is counted in French GDP.",,,
APMACRO,EIBC,SECTION,,Q364,A policy supported by supply-side economists would be,higher taxes on corporate profits.,lower tax rates on interest earned from savings.,removal of investment tax credits.,a longer duration of unemployment benefits.,higher marginal income tax rates to fund social welfare programs.,B,B -Supply-side economists prefer lower taxes on saving to encourage saving. More saving increases investment and increases AS.,,,
APMACRO,EIBC,SECTION,,Q365,"According to the quantity theory of money, increasing the money supply serves to",stimulate short-run production and employment with very little long-run inflation.,"increase short-run output, but it is the source of long-run inflation.",lower the unemployment rate while also lowering the rate of inflation.,increase the nation's long-run capacity to produce.,decrease short-run real GDP but increase real GDP in the long run.,B,"B -The equation of exchange says MV = PQ, and it is assumed that Q and V are fairly constant. Any increase in money supply ( M ) might initially boost output, but it eventually results in a higher price level ( P ).",,,
APMACRO,BEC,SECTION,,Q366,"Of the following choices, the most direct exchange in the circular flow model of a private closed economy is when",households provide goods to firms in exchange for wage payments.,households provide resources to firms in exchange for goods.,households provide revenues to firms in exchange for wage payments.,firms supply goods to households in exchange for revenues.,firms supply resources to households in exchange for costs of production.,D,D -Know the circular flow model.,,,
APMACRO,EIBC,SECTION,,Q367,Suppose that the federal government reclassified the purchase of a new home as consumption spending rather than investment spending. This decision would,increase aggregate demand and decrease real GDP.,decrease aggregate demand and decrease real GDP.,decrease aggregate demand and increase real GDP.,increase aggregate demand and increase real GDP.,have no impact on aggregate demand and real GDP.,E,E -This reclassification would not affect AD or tabulation of GDP.,,,
APMACRO,EIBC,SECTION,,Q368,The aggregate demand curve has a negative slope in part because when the price level increases,the value of cash increases,imports become relatively more expensive,the real quantity of money increases,the interest rate increases,exports increase,D,"D   When the price level increases, the value of cash decreases and imports become relatively less expensive. Exports decrease because they become relatively more expensive. The real quantity of money decreases, thus increasing the interest rate and decreasing investment and real GDP.",,,
APMACRO,NIPD,SECTION,,Q369,"Suppose that current disposable income is $10,000 and consumption spending is $8,000. For every $100 increase in disposable income, saving increases $10. Given this information,",the marginal propensity to consume is .80.,the marginal propensity to save is .20.,the marginal propensity to save is .10.,the marginal propensity to save is .90.,the marginal propensity to consume is .10.,C,"C -If income increases $100 and saving increases by $10, the MPS = .10 and the MPC = .90.",,,
APMACRO,NIPD,SECTION,,Q370,"When we observe an unplanned decrease in inventories, we can expect",prices to begin to fall.,output to begin to rise.,saving to begin to fall.,output to begin to fall.,planned investment to begin to rise.,B,"B -If inventories unexpectedly fall, consumption exceeds production, so expect production to begin rising.",,,
APMACRO,EIBC,SECTION,,Q371,Stagflation is the result of,a leftward shift in the aggregate supply curve.,a leftward shift in the aggregate demand curve.,a leftward shift in both the aggregate supply and aggregate demand curves.,a rightward shift in the aggregate supply curve.,a rightward shift in the aggregate demand curve.,A,"A -Stagflation is inflation with high unemployment, and this occurs when AS shifts to the left.",,,
APMACRO,NIPD,SECTION,,Q372,"If the short-run aggregate supply curve is horizontal, it is because",there exist many unemployed resources so that output can be increased without increasing wages and prices.,any increase in output requires a corresponding increase in wages and prices.,"increases in output cause prices to increase, but wages adjust much less quickly.","falling interest rates increase the demand for goods and services, putting upward pressure on prices.",resources are fully employed so that output can be increased but only if the price level also increases.,A,"A -The horizontal range of SRAS occurs when resources are unemployed. If output rises, wages do not rise and prices are constant.",,,
APMACRO,NIPD,SECTION,,Q373,"In a private closed economy, which of the following statements is true?",Household saving can never be negative.,Investment is always greater than savings.,The economy is in equilibrium when consumption equals saving.,Saving is equal to zero when consumption equals disposable income.,Government is the only source of spending and investment.,D,D -Consumption spending is equal to disposable income minus saving: C = DI – S .,,,
APMACRO,EIBC,SECTION,,Q374,Which of the following is true of a typical contraction of the business cycle?,"Consumption is falling, but household wealth is rising.",Consumption is increasing.,Private investment is rising.,Employment and inflation are low.,Private saving rates are rising.,D,D -Weak AD (contraction) causes job loss and low inflation rates.,,,
APMACRO,NIPD,SECTION,,Q375,Which of the following is most likely to produce stronger economic growth over time?,More rapid consumption of natural resources.,Higher adult illiteracy rates.,A falling stock of capital goods.,Investment tax credits.,Higher taxes on foreign capital investment.,D,D -Investment tax credits provide incentives for firms to invest in capital equipment and new factory construction. This policy stimulates economic growth and productivity.,,,
APMACRO,NIPD,SECTION,,Q376,"If $100 of new autonomous private investment were added to an economy with a marginal propensity to consume of .90, by how much would aggregate demand shift to the right?",$190 ,$900 ,"$1,000 ","$1,900 ",$90 ,C,"C -With an MPC = .90, M = 10, so increased investment shifts AD $1,000 to the right.",,,
APMACRO,BEC,SECTION,,Q377,Which of the following is true about the relationship between the M 1 and M 2 measures of money?,M 1 minus M 2 equals 0.,"M 1 includes checking deposits, while M 2 includes checking and saving deposits.","M 2 includes coin and paper money, but M 1 does not.",M 2 is more liquid than M 1.,M 1 is greater than M 2.,B,"B -Remember, M 2 includes M 1 but also includes less liquid forms of money like savings accounts. If you added M 1 and M 2, you would be adding M 1 twice.",,,
APMACRO,NIPD,SECTION,,Q378,Which of the following increases the size of the tax multiplier?,An increase in the marginal propensity to consume.,An increase in the reserve ratio.,An increase in the marginal propensity to save.,A decrease in the spending multiplier.,A decrease in the velocity of money.,A,A -Tm = M × MPC. A larger MPC increases the size of Tm.,,,
APMACRO,NIPD,SECTION,,Q379,"When the value of the U.S. dollar appreciates relative to other currencies, which of the following is the most likely to occur?",Imports into the United States will decrease.,Exports from the United States will increase.,U.S. residents will take more vacations in foreign countries.,More foreign visitors will travel to the United States.,Investments in U.S. securities will increase.,C,"C   When the U.S. dollar appreciates relative to other currencies, this means that each dollar will purchase more of other currencies and it takes more of other currencies to purchase a dollar. Thus, imports into the United States are less expensive and will increase. Exports from the United States become more expensive and will decrease. Trips to the United States and U.S. securities also become relatively more expensive. On the other hand, because dollars buy relatively more in other countries, U.S. residents will take more vacations in foreign lands.",,,
APMACRO,FS,SECTION,,Q380,Which of the following might worsen a nation's trade deficit?,Lower wages relative to other nations.,Lower taxes on corporate profits relative to other nations.,A higher interest rate on financial assets relative to other nations.,A higher rate of inflation relative to other nations.,Other nations remove tariffs and quotas on foreign imports.,D,"D -Higher inflation to other nations causes goods to be more expensive relative to those produced abroad, causing a drop in net exports.",,,
APMACRO,EIBC,SECTION,,Q381,"If the economy is suffering from extremely high rates of inflation, which of the following fiscal policies would be an appropriate strategy for the economy?",Increase government spending and decrease taxes.,Decrease government spending and increase taxes.,Increase government spending with no change in taxes.,The Federal Reserve increases the discount rate.,Decrease taxes with no change in government spending.,B,"B -High inflation rates require a decrease in AD, and this is the only contractionary fiscal policy. Fed policy is not fiscal; it is monetary.",,,
